dataset,split,instance,assets,K,k_ratio,method,run,HV,IGD,PF_Overlap,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation,Diversity,Spacing,Archive_Size,Archive_Diversity,Archive_Spacing,run_dir
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,MOEAD,1,0.8516953302886628,0.17777878125496768,0.0,1.2965394,40,1.0,1.0,2.1371793224034264e-16,1.1102230246251563e-15,2.76445533131664e-16,1.1102230246251563e-15,0.4258629406041296,0.012773243188404143,17,0.4258629406041296,0.0127732431884041,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\MOEAD\run_001
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,18,1.082998791203939,0.005353834688475032,0.8083333333333333,7.4523633,100,1.0,1.0,2.964295475749168e-16,1.1102230246251563e-15,2.964295475749168e-16,1.1102230246251563e-15,1.227464298015306,0.007730743003833467,100,1.227464298015306,0.0077307430038334,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_018
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,23,1.0832220236343169,0.005090949467931778,0.8416666666666667,9.9522406,100,1.0,1.0,2.542410726391608e-16,1.1102230246251563e-15,2.542410726391608e-16,1.1102230246251563e-15,1.227166605574141,0.007816979728527365,100,1.227166605574141,0.0078169797285273,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_023
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,5,1.0830682071226638,0.005544347703682042,0.8166666666666667,7.9645854,100,1.0,1.0,1.9206858326015208e-16,1.1102230246251563e-15,1.9206858326015208e-16,1.1102230246251563e-15,1.2371095200901083,0.007927973394817735,100,1.2371095200901083,0.0079279733948177,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_005
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,30,1.0826146557701541,0.005834777323074049,0.825,7.673614,100,1.0,1.0,2.6756374893466274e-16,1.1102230246251563e-15,2.6756374893466274e-16,1.1102230246251563e-15,1.235590273704087,0.008352817513015975,100,1.235590273704087,0.0083528175130159,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_030
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,NSGAII,29,1.0805361121916541,0.00530762221901378,0.8916666666666667,0.7397474,100,1.0,1.0,2.3647750424515833e-16,1.1102230246251563e-15,2.3647750424515833e-16,1.1102230246251563e-15,1.1852416385652573,0.005943101417486762,96,1.185241638565257,0.0059431014174867,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\NSGAII\run_029
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,21,1.0827928736638197,0.005352296696444715,0.85,9.9225442,100,1.0,1.0,1.8651746813702632e-16,1.1102230246251563e-15,1.8651746813702632e-16,1.1102230246251563e-15,1.2214320338855402,0.008154468808356996,100,1.2214320338855402,0.0081544688083569,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_021
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,4,1.0829426637838886,0.005175657137034664,0.8416666666666667,8.2582391,100,1.0,1.0,2.34257058195908e-16,1.1102230246251563e-15,2.34257058195908e-16,1.1102230246251563e-15,1.2365963453846627,0.0063837183053224115,100,1.236596345384663,0.0063837183053224,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_004
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,28,1.0829727961554427,0.005557798805743249,0.8166666666666667,7.6298354,100,1.0,1.0,2.0983215165415455e-16,1.1102230246251563e-15,2.0983215165415455e-16,1.1102230246251563e-15,1.2271511490396945,0.008159095668567807,100,1.2271511490396945,0.0081590956685678,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_028
Synthetic,train,syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627,50,3,0.05,SPEA2,20,1.0829907345458116,0.005568629501475986,0.8583333333333333,9.0989213,100,1.0,1.0,2.4646951146678477e-16,1.1102230246251563e-15,2.4646951146678477e-16,1.1102230246251563e-15,1.1777141434829874,0.008006476959820073,100,1.1777141434829874,0.00800647695982,C:\Users\yiting\Documents\Playground\p0_lite_outputs\synthetic_constrained_portfolio\train\syn_n50_k05_low_corr_skewed_extreme_events_r02_s20260627\K_03\SPEA2\run_020
