method,universe,window_id,run,assets,K,train_days,test_days,gross_return,net_return,annual_return,annual_net_return,annual_volatility,sharpe,sortino,max_drawdown,turnover,transaction_cost,runtime_sec,daily_return_days,cvar95_loss,mdd_from_daily_returns,rebalance_turnover,cost_scenario,cost_rate,scenario_transaction_cost,scenario_net_return,scenario_annual_net_return
MOEAD,NASDAQ100,window_001,8,60,10,755,124,0.247600872981724,0.246600872981724,0.567655227905376,0.565102679193782,0.381418673177585,1.36869153821255,2.13064679199722,-0.251362788719411,1,0.001,11.4994131,124,0.046515223385834595,-0.25136278871941087,1.0,50bps,0.005,0.005,0.242600872981724,0.5549136116413089
MOEAD,NASDAQ100,window_002,8,59,10,755,126,0.25321669247444,0.25221669247444,0.570552078296575,0.568046644911626,0.283825641828305,1.73300358979939,2.58428316066887,-0.185518873608131,1,0.001,11.3768155,126,0.03874834106849979,-0.18551887360813113,0.2963906961503031,50bps,0.005,0.0014819534807515157,0.2517347389936885,0.566839856803597
MOEAD,NASDAQ100,window_003,8,60,10,756,124,-0.454882588132736,-0.455882588132736,-0.708606548446028,-0.709691866938524,0.532377930447114,-2.04506418185569,-3.57524688912597,-0.472664409067398,1,0.001,11.3448772,124,0.06914486862271378,-0.4726644090673978,0.44980314132159943,50bps,0.005,0.0022490157066079974,-0.45713160383934404,-0.7110445576372758
MOEAD,NASDAQ100,window_004,8,60,10,756,125,-0.139612030398375,-0.140612030398375,-0.261511447289033,-0.263240799570007,0.38112927776078,-0.606891492409886,-1.07266226015682,-0.303629631706836,1,0.001,5.2236489,125,0.045434181840976424,-0.3036296317068353,0.6989273634956131,50bps,0.005,0.003494636817478066,-0.14310666721585305,-0.26754599894995257
MOEAD,NASDAQ100,window_005,8,60,10,755,123,0.363967757385905,0.362967757385905,0.888791494615995,0.885955480783165,0.287189115009217,2.35958340044474,3.64162610197369,-0.186790098903245,1,0.001,7.4855295,123,0.0365143632345053,-0.18679009890324538,0.43667323516635015,50bps,0.005,0.0021833661758317506,0.3617843912100732,0.8826022560306592
MOEAD,NASDAQ100,window_006,8,60,10,753,125,0.180927708287782,0.179927708287782,0.398305926303547,0.395919859747839,0.187621359495637,1.88069893384089,3.1898647200552,-0.0771070471401749,1,0.001,3.6892085,125,0.021451181954503656,-0.07710704714017358,0.7470106658689692,50bps,0.005,0.0037350533293448464,0.17719265495843717,0.3894043301719685
MOEAD,NASDAQ100,window_007,8,60,10,752,124,0.333487014236019,0.332487014236019,0.79477279566746,0.792038588502099,0.174675372822805,3.43870070134369,6.5477811591862,-0.0669256830074662,1,0.001,4.0531135,124,0.018643153599013473,-0.06692568300746593,0.35920342330669175,50bps,0.005,0.0017960171165334587,0.3316909971194856,0.7898636263321197
MOEAD,NASDAQ100,window_008,8,60,10,752,126,0.172113459405885,0.171113459405885,0.373849961720432,0.37150673480162,0.286075521828271,1.25261900263973,1.81680024788284,-0.132740661430038,1,0.001,3.6809759,126,0.040369582526483656,-0.13274066143003738,0.2838561254080472,50bps,0.005,0.0014192806270402361,0.17069417877884474,0.37052486022667375
MOEAD,NASDAQ100,window_009,8,59,10,752,122,0.226383699303915,0.225383699303915,0.524278429930849,0.521712233283082,0.354363714463818,1.36492274447581,1.79665923470762,-0.230821293740385,1,0.001,3.7869255,122,0.0499818451357006,-0.23082129374038485,0.36570112353830164,50bps,0.005,0.0018285056176915082,0.22455519368622348,0.5195878145122221
MOEAD,NASDAQ100,window_010,8,60,10,750,126,-0.0572582989898766,-0.0582582989898766,-0.111238085176539,-0.113122568578559,0.199676456800763,-0.490865539456685,-0.64426332222828,-0.141584952896904,1,0.001,3.707399,126,0.030675887483596533,-0.14158495289690431,0.45453472343534157,50bps,0.005,0.002272673617176708,-0.05953097260705331,-0.11551800851456484
