universe,window_id,method,assets,K,train_days,test_days,runs,annual_net_return_mean,annual_net_return_std,sharpe_mean,sortino_mean,max_drawdown_mean,cvar95_loss_mean,rebalance_turnover_mean,gross_return_mean,runtime_sec_mean
SP100,window_001,ECMADE_MOO,60,10,755,124,10,0.0449646666261466,0.02015842357459326,0.3069088979125681,0.47574835754841355,-0.232024068969603,0.04703398331375775,1.0,0.02283560162080659,4.82755716
SP100,window_002,ECMADE_MOO,60,10,755,126,10,0.5866532452374263,0.0641358625950466,2.424643053003619,4.426884784579297,-0.08266523940940931,0.02268259695171041,0.6268243711237695,0.26039277506105873,4.22279133
SP100,window_003,ECMADE_MOO,60,10,756,124,10,-0.453455272923987,0.044444605007080064,-1.269886996945583,-2.156925990225269,-0.278011960868045,0.050904203689205584,0.35361169399872094,-0.2566950393199448,4.51844801
SP100,window_004,ECMADE_MOO,60,10,756,125,10,-0.24462128134316247,0.035296607142503614,-0.8107408950517655,-1.322822275730997,-0.25541391875572106,0.036250902982599816,0.37979672418734073,-0.12911940842110373,3.84572677
SP100,window_005,ECMADE_MOO,60,10,755,123,10,1.0636909454847037,0.12349835065526373,3.811785317458214,6.3018741099988205,-0.09800168036422896,0.022472292369349937,0.29073907273983496,0.42464650458474756,3.64281294
SP100,window_006,ECMADE_MOO,60,10,753,125,10,0.2475239311498584,0.03010866567167603,1.406803161378477,2.340160395251183,-0.09334828032068804,0.020175326266362252,0.42986086232163895,0.11687306436574048,4.00849481
SP100,window_007,ECMADE_MOO,60,10,752,124,10,1.0830286151348465,0.10801717316204001,4.432809796656144,8.071017805366425,-0.06368027702896843,0.017861124843743564,0.372765053428507,0.4354546501299802,3.7863806099999997
SP100,window_008,ECMADE_MOO,60,10,752,126,10,-0.03584550758603163,0.04584363118905699,-0.02275846019389953,-0.031230007432341424,-0.1505921637001369,0.03132124475327528,0.22325062272850546,-0.01733582317354837,3.9826700600000002
SP100,window_009,ECMADE_MOO,60,10,752,122,10,0.365640850266577,0.05872404865116202,1.179950479822963,1.560895416176799,-0.1916034203174922,0.04252061718210698,0.35424659411975135,0.1635995722972276,3.91717799
SP100,window_010,ECMADE_MOO,60,10,750,126,10,0.2762405835792092,0.08354152438947265,1.472885008795279,2.092497522674843,-0.0825240852112467,0.023733708410699498,0.6574471920736727,0.13018377976500056,4.2581961999999995
SP100,window_011,ECMADE_MOO,60,10,751,123,10,0.1477635541100188,0.02144276786517377,0.7638180651193988,1.3367964406034871,-0.1262789070629248,0.024907158012045644,0.4640963488963383,0.0705394096950859,4.43637448
SP100,window_001,GDE3,60,10,755,124,10,0.06264844454329944,0.013905048705171692,0.3533249269126957,0.5428014265042427,-0.2246804345765005,0.045899949578670794,1.0,0.03133145985477074,1.44758023
SP100,window_002,GDE3,60,10,755,126,10,0.5928304978547754,0.04569330650579012,2.4480090033795223,4.485704295976576,-0.0831892399064472,0.02280798933882052,0.6087876705613116,0.2629567626960908,1.22470995
SP100,window_003,GDE3,60,10,756,124,10,-0.4371811471163416,0.022352489184331695,-1.233600460906334,-2.084797673268794,-0.2709815592951455,0.04993947169173376,0.34871301778780384,-0.24549274150987102,1.21046654
