"analysis","primary_method","baseline_method","metric","paired_n","alternative","wins","ties","losses","median_difference","mean_difference","wilcoxon_statistic","raw_p_value","effect_size_paired_win_loss","difference_definition","metric_direction","holm_adjusted_p_value","significant_0_05","multiplicity_scope"
"real_market_six_algorithm","ECMADE_MOO","A_MPMO","gross_return_mean","33","two-sided","13","0","20","-0.0069496201409746106","-0.002530756352630943","235.0","0.42636040854267776","-0.21212121212121213","ECMADE_MOO - A_MPMO; positive favors primary","higher is better","0.8527208170853555","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","GDE3","gross_return_mean","33","two-sided","13","0","20","-0.007294751324264298","-0.003241210588683693","216.0","0.25653275568038225","-0.21212121212121213","ECMADE_MOO - GDE3; positive favors primary","higher is better","0.7695982670411468","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","MOEAD","gross_return_mean","33","two-sided","13","0","20","-0.005618934884083909","-0.007141198939812422","202.0","0.16549804504029453","-0.21212121212121213","ECMADE_MOO - MOEAD; positive favors primary","higher is better","0.697761254850775","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","NSGAII","gross_return_mean","33","two-sided","13","0","20","-0.006210337878444994","-0.0046208308894624545","197.0","0.139552250970155","-0.21212121212121213","ECMADE_MOO - NSGAII; positive favors primary","higher is better","0.697761254850775","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","SPEA2","gross_return_mean","33","two-sided","14","0","19","-0.004354636744837992","-0.0004871330292581347","248.0","0.5721765686757863","-0.15151515151515152","ECMADE_MOO - SPEA2; positive favors primary","higher is better","0.8527208170853555","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","A_MPMO","annual_return_mean","33","two-sided","13","0","20","-0.016707728909600428","-0.005490351239588091","222.0","0.304337490350008","-0.21212121212121213","ECMADE_MOO - A_MPMO; positive favors primary","higher is better","0.913012471050024","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","GDE3","annual_return_mean","33","two-sided","13","0","20","-0.012972311303279138","-0.007054561707331205","230.0","0.3764748873654753","-0.21212121212121213","ECMADE_MOO - GDE3; positive favors primary","higher is better","0.913012471050024","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","MOEAD","annual_return_mean","33","two-sided","13","0","20","-0.008268668157011605","-0.020931857582345115","203.0","0.17108511831611395","-0.21212121212121213","ECMADE_MOO - MOEAD; positive favors primary","higher is better","0.6843404732644558","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","NSGAII","annual_return_mean","33","two-sided","13","0","20","-0.013361607005151502","-0.009715713783141504","191.0","0.11258278018794954","-0.21212121212121213","ECMADE_MOO - NSGAII; positive favors primary","higher is better","0.5629139009397477","False","within analysis and metric across primary comparisons"
"real_market_six_algorithm","ECMADE_MOO","SPEA2","annual_return_mean","33","two-sided","14","0","19","-0.010291912769894301","0.0009144832133552144","253.0","0.6337929000146687","-0.15151515151515152","ECMADE_MOO - SPEA2; positive favors primary","higher is better","0.913012471050024","False","within analysis and metric across primary comparisons"
