universe,window_id,method,run,assets,K,train_days,test_days,gross_return,net_return,annual_return,annual_net_return,annual_volatility,sharpe,sortino,max_drawdown,turnover,transaction_cost,Runtime,cvar95_loss,mdd_from_daily_returns,selected_holdings,average_pf_holdings,median_pf_holdings,PF_Size,run_dir,initial_turnover,rebalance_turnover,HV,IGD,PF_Overlap,Diversity,PF_Drift
TAIWAN50,window_006,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,729,125,0.1866232127168154,0.1856232127168154,0.4119349382023087,0.4095371743420704,0.2617430497963415,1.4500915379845245,2.072927973148815,-0.1554492313858162,1.0,0.001,11.221295799943618,0.03746028690960396,-0.15544923138581623,10,9.39795918367347,10.0,294,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_006\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,0.6594115992436782,1.0246019876738384,0.0379888143917197,0.8666666666666667,0.9540257326809478,0.037253213288158955
TAIWAN50,window_007,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,727,117,0.2421547516237452,0.2411547516237452,0.5952912385417413,0.5925263526914266,0.1570634656959919,3.054760336131336,5.25870429581883,-0.0584019207081654,1.0,0.001,10.235632400028408,0.018716991659427876,-0.05840192070816541,10,9.657894736842104,10.0,228,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_007\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,0.4886173612688659,1.050160298770625,0.03532301046638968,0.8666666666666667,1.0553851387307778,0.03415927874869597
TAIWAN50,window_008,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,729,123,-0.0057932984273054,-0.0067932984273054,-0.0118331421626857,-0.0138684021921963,0.1941395196180663,0.0364404004945588,0.0448354791760667,-0.1204700645311386,1.0,0.001,11.156468900036998,0.030731194596719864,-0.12047006453113862,10,8.757668711656441,10.0,326,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_008\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,0.31882414228569006,0.9456630523451971,0.004724127920938552,0.9916666666666667,1.3895287786342527,0.04127882688080756
TAIWAN50,window_009,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,726,116,0.0992541853905508,0.0982541853905508,0.2282368973468878,0.2258108743426883,0.2684237444791899,0.9011854003460024,1.0786837077386895,-0.223689181761503,1.0,0.001,10.538960800040512,0.04375552247278497,-0.223689181761503,10,9.093189964157705,10.0,279,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_009\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,0.33892303265144724,0.9469256660777204,0.0056267935674043585,0.9916666666666667,1.396431294220225,0.034585349925284434
TAIWAN50,window_010,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,725,124,0.3025596375470947,0.3015596375470947,0.7111905847975153,0.7085218371924686,0.1561460256022125,3.522034792927445,5.4142512300108665,-0.0524475037613259,1.0,0.001,11.707386999973096,0.01948624216651118,-0.0524475037613259,10,9.66193853427896,10.0,423,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_010\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,0.6559996578747576,0.946833572752908,0.010639274731265929,0.9166666666666666,1.2128740598930117,0.03680894382870094
TAIWAN50,window_011,ExperimentC_StabilityAware_ECMADE_MOO,4,49,10,722,116,0.4873983320853894,0.4863983320853894,1.3691001674472525,1.3656413511590624,0.2143967195221139,4.136872791195158,6.607961663441552,-0.051025911840577,1.0,0.001,11.323276299983265,0.026778794774266104,-0.05102591184057703,10,9.378461538461538,10.0,325,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_011\ExperimentC_StabilityAware_ECMADE_MOO\run_004,1.0,0.6815162376664592,0.9903712740797888,0.005692810752475709,0.95,1.3924340151382766,0.03279584309673505
TAIWAN50,window_001,ExperimentC_StabilityAware_ECMADE_MOO,5,49,10,730,115,0.4361138901232748,0.4351138901232748,1.2102870651336626,1.206915882045355,0.3139603359225569,2.685771549291996,4.937192525869644,-0.1563050222711069,0.9999999999999998,0.0009999999999999,10.769888399983756,0.03488654529646847,-0.15630502227110699,10,9.24561403508772,10.0,285,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_001\ExperimentC_StabilityAware_ECMADE_MOO\run_005,0.9999999999999998,1.0,1.0692208509102716,0.04264743779537051,0.8583333333333333,1.033458078849194,0.054698251853694715
TAIWAN50,window_002,ExperimentC_StabilityAware_ECMADE_MOO,5,49,10,729,126,-0.0114906248724584,-0.0124906248724584,-0.0228492152849573,-0.0248252340352124,0.3470517610463485,0.107519118005532,0.1596845156135212,-0.2870081936830617,1.0000000000000002,0.001,10.753814000054264,0.046131526355838774,-0.28700819368306174,9,8.093484419263456,9.0,353,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_002\ExperimentC_StabilityAware_ECMADE_MOO\run_005,1.0000000000000002,0.6504575210012614,0.9999356656933978,0.004834308773780611,0.9916666666666667,1.2566101791758533,0.014535912942586379
TAIWAN50,window_003,ExperimentC_StabilityAware_ECMADE_MOO,5,49,10,728,117,-0.2679025181356749,-0.2689025181356749,-0.4891395586334565,-0.490641336458459,0.2584246677720028,-2.4658518959322016,-3.69055612837899,-0.2713423083068278,1.0,0.001,11.003115800092928,0.037561698155353415,-0.2713423083068278,10,9.604229607250755,10.0,331,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_003\ExperimentC_StabilityAware_ECMADE_MOO\run_005,1.0,0.6373204002217353,1.0644840631928985,0.006959092673319458,0.9333333333333333,1.2467179607388632,0.047208169519628376
TAIWAN50,window_004,ExperimentC_StabilityAware_ECMADE_MOO,5,49,10,730,127,-0.0283258866990022,-0.0293258866990022,-0.0554220770320371,-0.0573500190252921,0.19330216214624,-0.1980424962155521,-0.2987235511710819,-0.2039367477185526,1.0,0.001,11.188408499932848,0.02741353864197597,-0.20393674771855264,10,9.92,10.0,300,p0_lite_outputs\p1_rolling_window_market_validation_20260719\raw_configured_ecmade\TAIWAN50\window_004\ExperimentC_StabilityAware_ECMADE_MOO\run_005,1.0,0.4046478242004871,1.0521864973050938,0.04553279850330097,0.8333333333333334,1.0205246787131907,0.04644471593241343
