split,instance,K,method,HV,IGD,PF_Overlap,PF_Drift,Diversity,Runtime
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_164,1.0382739699982884,0.014498630931854824,0.7361111111111112,0.02048794387182108,1.1836002140750952,3.9675530500000002
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_170,1.0382739699982884,0.014498630931854824,0.7361111111111112,0.02048794387182108,1.1836002140750952,4.269102683333333
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_175,1.0382739699982884,0.014498630931854824,0.7361111111111112,0.02048794387182108,1.1836002140750952,4.21314383
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_189,1.0382739699982884,0.014498630931854824,0.7361111111111112,0.02048794387182108,1.1836002140750952,4.754026103333333
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_200,1.0417491823594582,0.015706370997090494,0.7805555555555557,0.020555414095657833,1.177606048843183,9.26735319
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_223,1.0336829352450356,0.023277917719858383,0.7650000000000001,0.029378758027121508,1.1906065587472467,9.36521284
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_234,1.0336829352450356,0.023277917719858383,0.7650000000000001,0.029378758027121508,1.1906065587472467,9.348533396666669
Training,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,theta_237,1.0336829352450356,0.023277917719858383,0.7650000000000001,0.029378758027121508,1.1906065587472467,4.079829973333333
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_011,1.1288754211339922,0.005457933514203926,0.9469444444444445,0.02227975542272065,0.8574722835886256,4.927841926666667
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_034,1.127680738996523,0.00685637232932154,0.923888888888889,0.030695480316975388,0.8481457758192515,3.451182363333333
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_037,1.127680738996523,0.00685637232932154,0.923888888888889,0.030695480316975388,0.8481457758192515,3.4533198266666663
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_045,1.127680738996523,0.00685637232932154,0.923888888888889,0.030695480316975388,0.8481457758192515,4.020853136666667
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_047,1.127680738996523,0.00685637232932154,0.923888888888889,0.030695480316975388,0.8481457758192515,4.727189856666667
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_067,1.1271596112567488,0.006246805738598483,0.9230555555555557,0.026541413475731832,0.8592552292138337,6.841722326666666
Training,syn_n100_k05_high_corr_heavy_tail_extreme_events_r01_s20260681,5,theta_076,1.1271596112567488,0.006246805738598483,0.9230555555555557,0.026541413475731832,0.8592552292138337,4.137276263333335
