split,instance,K,method,runs,theta_ids,N,maxFE,rng_policy,seed_policy,PF_Drift,HV,IGD,PF_Overlap,Diversity,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation
test,syn_n50_k20_pathological_cov_normal_extreme_events_r02_s20260661,10,RandomConfig_ECMADE_MOO,30,theta_18,100.0,10000.0,"rng(run,'mcg16807')",run index,0.06327752148284463,0.8656401415897961,0.01749747466490949,0.9297222222222223,1.283059486736224,6.245172583333332,100.0,1.0,1.0,4.04121180963557e-17,2.59052039079203e-16,4.04121180963557e-17,2.59052039079203e-16
test,syn_n50_k30_cluster_corr_heavy_tail_low_vol_r02_s20260673,15,RandomConfig_ECMADE_MOO,30,theta_11,100.0,10000.0,"rng(run,'mcg16807')",run index,0.07669547034869768,1.0146035493670196,0.021147913409610905,0.885,1.1662891085450218,4.652956826666667,99.93333333333334,1.0,1.0,7.726245946881189e-17,3.7747582837255336e-16,7.723451507975671e-17,3.7747582837255336e-16
test,syn_n50_k30_low_corr_heavy_tail_high_vol_r03_s20260674,15,RandomConfig_ECMADE_MOO,30,theta_24,100.0,10000.0,"rng(run,'mcg16807')",run index,0.05456143846284078,1.0118924144403656,0.029563717566727075,0.7719444444444445,0.8703890793297119,4.526169716666667,97.26666666666667,1.0,1.0,5.527387307783954e-17,2.8865798640254066e-16,5.495603971894525e-17,2.8865798640254066e-16
test,syn_n100_k05_cluster_corr_skewed_high_vol_r01_s20260685,5,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.02537714730068415,1.0400102451768398,0.01748406335739537,0.8286111111111111,1.1720511303839798,2.11752787,100.0,1.0,1.0,2.1649348980190544e-17,2.2204460492503104e-16,2.1649348980190544e-17,2.2204460492503104e-16
test,syn_n100_k05_low_corr_skewed_extreme_events_r02_s20260686,5,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.03719788212105131,0.9918026647275868,0.025919376360548137,0.805277777777778,1.298575839159067,2.1547978,100.0,1.0,1.0,2.1575334111882196e-17,2.2204460492503104e-16,2.1575334111882196e-17,2.2204460492503104e-16
test,syn_n100_k10_cluster_corr_skewed_high_vol_r01_s20260697,10,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.024540884325348605,1.1063498042942173,0.011626602818708538,0.9230555555555556,0.8999890746561945,1.6362753166666664,100.0,1.0,1.0,6.191343733992957e-17,3.1826393372587826e-16,6.191343733992957e-17,3.1826393372587826e-16
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,10,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.03948520883221183,0.9734402475324381,0.023858406626212723,0.7100000000000001,1.0414175408256723,1.5942718066666663,100.0,1.0,1.0,5.965598385652508e-17,3.1086244689504376e-16,5.965598385652508e-17,3.1086244689504376e-16
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,20,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.022646800190044426,1.0648078173364959,0.011446171821782813,0.9480555555555555,0.917666453052213,1.5691005199999999,100.0,1.0,1.0,8.452497960812857e-17,4.181840059421425e-16,8.452497960812857e-17,4.181840059421425e-16
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,20,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.014738046894630395,1.1765479071913547,0.02536812071436392,0.8583333333333332,0.3601528793639702,1.35384796,92.7,1.0,1.0,1.1038030678914086e-16,5.070018479121549e-16,1.0935696792557794e-16,5.107025913275721e-16
test,syn_n100_k30_high_corr_heavy_tail_extreme_events_r01_s20260722,30,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.09646273420907915,0.9899311682766825,0.05053916759376718,0.6794444444444444,0.9606024607756282,1.3953869933333332,90.26666666666667,1.0,1.0,1.2604216280150237e-16,5.88418203051333e-16,1.2641739507065114e-16,6.106226635438362e-16
