endpoint,direction,method_a,method_b,paired_units,median_oriented_difference,mean_oriented_difference,wins_a,ties,wins_b,wilcoxon_stat,two_sided_p_value,one_sided_greater_p_value,rank_biserial_correlation,vargha_delaney_A_oriented,holm_two_sided_p_value,significant_0_05
EqualWeightedScore,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.00823283821747045,-0.12994099665693995,16,0,16,185.0,0.1437781504355371,0.930680378805846,-0.29924242424242425,0.3505859375,0.7188907521776855,False
EqualWeightedScore,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.199374605358614,-0.26966371465447125,6,0,26,74.0,0.0001777801662683487,0.9999190585222095,-0.7196969696969697,0.1884765625,0.001777801662683487,True
EqualWeightedScore,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.07314155604367603,-0.08015733706163308,11,0,21,138.0,0.017460348084568977,0.9917335261125118,-0.4772727272727273,0.365234375,0.12222243659198284,False
EqualWeightedScore,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.06299644722426984,-0.0326038723591776,11,0,21,197.0,0.2168873231858015,0.8950228444300592,-0.2537878787878788,0.4521484375,0.867549292743206,False
StabilityWeightedRank,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.0,-0.4375,15,0,17,205.5,0.269520815974275,0.8652395920128625,-0.2215909090909091,0.41455078125,0.8085624479228251,False
StabilityWeightedRank,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.0,-1.0625,10,0,22,138.0,0.017217632392955082,0.9913911838035224,-0.4772727272727273,0.29052734375,0.12052342675068557,False
StabilityWeightedRank,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.0,-0.1875,13,0,19,233.5,0.56323052588281,0.718384737058595,-0.11553030303030302,0.46533203125,1.0,False
StabilityWeightedRank,min,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,1.0,0.59375,19,0,13,168.5,0.06874057677883923,0.03437028838941961,0.36174242424242425,0.61083984375,0.2749623071153569,False
PerformanceRank,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.75,-0.515625,14,2,16,155.0,0.10944225877421761,0.9452788706128912,-0.3333333333333333,0.39990234375,0.48164807521380315,False
PerformanceRank,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,-0.265625,15,3,14,169.0,0.2924779772846948,0.8537610113576526,-0.22298850574712645,0.45263671875,0.6142023283455793,False
PerformanceRank,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.25,-0.90625,6,2,24,105.0,0.008254979786840365,0.9958725101065798,-0.5483870967741935,0.29296875,0.07429481808156328,False
PerformanceRank,min,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,0.515625,15,6,11,107.0,0.08027467920230053,0.04013733960115026,0.3903133903133903,0.63525390625,0.48164807521380315,False
EqualWeightedRank,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,-0.4375,16,0,16,208.0,0.287799548452197,0.8561002257739014,-0.21212121212121213,0.42041015625,1.0,False
EqualWeightedRank,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-2.0,-1.5625,6,0,26,84.0,0.0006697294490218271,0.9996651352754891,-0.6818181818181818,0.19873046875,0.006697294490218271,True
EqualWeightedRank,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.0,-0.5,11,0,21,179.5,0.1060174674683207,0.9469912662658396,-0.32007575757575757,0.392578125,0.6038999790458754,False
EqualWeightedRank,min,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.0,-0.625,11,0,21,177.5,0.10064999650764592,0.949675001746177,-0.32765151515151514,0.36328125,0.6038999790458754,False
RankBasedCompositeRank,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.0,-0.390625,14,0,18,217.5,0.38133875372382464,0.8093306231380877,-0.17613636363636365,0.4169921875,1.0,False
RankBasedCompositeRank,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.25,-0.921875,11,1,20,138.5,0.030823866479822517,0.9845880667600887,-0.4415322580645161,0.31884765625,0.24659093183858014,False
RankBasedCompositeRank,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.0,-0.296875,13,1,18,192.5,0.2704683398281009,0.8647658300859495,-0.22379032258064516,0.4296875,1.0,False
RankBasedCompositeRank,min,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,1.0,0.359375,17,0,15,212.5,0.33044642156041126,0.16522321078020563,0.19507575757575757,0.58154296875,1.0,False
InstanceRankScore,min,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.33333333333333326,-0.34375,14,0,18,193.5,0.18733439008585862,0.9063328049570707,-0.26704545454545453,0.3681640625,0.5618874546573164,False
InstanceRankScore,min,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.41666666666666674,-0.6927083333333333,11,1,20,125.5,0.016328045687627645,0.9918359771561862,-0.4939516129032258,0.275390625,0.11429631981339351,False
InstanceRankScore,min,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.3749999999999999,-0.19270833333333331,13,1,18,168.5,0.11917115934901774,0.9404144203254912,-0.32056451612903225,0.41259765625,0.476684637396071,False
InstanceRankScore,min,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.16666666666666674,0.2916666666666667,17,0,15,193.5,0.18729581821910546,0.09364790910955273,0.26704545454545453,0.60498046875,0.5618874546573164,False
