split,instance,K,method,runs,theta_ids,N,maxFE,rng_policy,seed_policy,PF_Drift,HV,IGD,PF_Overlap,Diversity,Runtime,PF_Size,PF_Feasible_Rate,Population_Feasible_Rate,PF_Mean_Violation,PF_Max_Violation,Population_Mean_Violation,Population_Max_Violation,rank_HV,rank_IGD,rank_PF_Overlap,rank_PF_Drift,rank_Diversity,rank_Runtime,InstanceRankScore,RankBasedCompositeRank,HV_score,IGD_score,PF_Overlap_score,PF_Drift_score,DiversityScore,RuntimeScore,PerformanceScore,StabilityScore,J_stability,J_performance,EqualWeightedScore,PerformanceRank,StabilityWeightedRank,EqualWeightedRank
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,10,RandomConfig_ECMADE_MOO,30,theta_10,100.0,10000.0,"rng(run,'mcg16807')",run index,0.036104147279074676,0.9820024127439935,0.01926099871270358,0.7624999999999998,1.07191320905201,5.256971263333333,100.0,1.0,1.0,6.294964549624638e-17,3.441691376337986e-16,6.294964549624638e-17,3.441691376337986e-16,2.5,2.5,2.5,1.5,3.5,5.0,2.9166666666666665,3.0,0.5385267233404792,0.5132459880474387,0.5299455535390185,1.0,0.265439441671151,0.0,0.525886355693959,0.7649727767695093,0.5287972268039991,0.4809799425888891,0.38907464353365484,2.5,3.0,3.0
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,10,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.03948520883221183,0.9734402475324381,0.023858406626212723,0.7100000000000001,1.0414175408256723,1.5942718066666663,100.0,1.0,1.0,5.965598385652508e-17,3.1086244689504376e-16,5.965598385652508e-17,3.1086244689504376e-16,5.0,5.0,4.0,3.0,5.0,1.0,3.8333333333333335,5.0,0.0,0.0,0.18693284936479143,0.687047987560399,0.0,1.0,0.0,0.43699041846259523,0.29664568830816784,0.2092476046156488,0.3592476046156488,5.0,4.0,5.0
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,10,MetaDesigned_ECMADE_MOO,30,theta_09,100.0,10000.0,"rng(run,'mcg16807')",run index,0.036104147279074676,0.9820024127439935,0.01926099871270358,0.7624999999999998,1.07191320905201,4.0475237533333335,100.0,1.0,1.0,6.294964549624638e-17,3.441691376337986e-16,6.294964549624638e-17,3.441691376337986e-16,2.5,2.5,2.5,1.5,3.5,4.0,2.75,2.0,0.5385267233404792,0.5132459880474387,0.5299455535390185,1.0,0.265439441671151,0.33020659333613145,0.525886355693959,0.7649727767695093,0.5618178861376122,0.5140006019225023,0.4716262918676877,2.5,2.0,2.0
test,syn_n100_k10_high_corr_normal_low_vol_r03_s20260698,10,ExperimentC_NoReplicate_ECMADE_MOO,30,theta_037,100.0,10000.0,"rng(run,'mcg16807')",run index,0.04690791724617047,0.9789088727766668,0.02363976634378473,0.6813888888888889,1.1563050196206224,3.956537143333334,100.0,1.0,1.0,5.913787977836669e-17,3.4416913763379854e-16,5.913787977836669e-17,3.4416913763379854e-16,4.0,4.0,5.0,5.0,1.0,3.0,3.6666666666666665,4.0,0.34395515166852897,0.024408590643433526,0.0,0.0,1.0,0.3550480009035446,0.18418187115598125,0.0,0.2815502678793498,0.318386642110546,0.38480746801488147,4.0,5.0,4.0
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,20,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.022117548214084945,1.075930058274864,0.007325956656935049,0.9733333333333335,0.93423389594806,1.9451244233333334,100.0,1.0,1.0,3.694452151610979e-16,1.2286468139185065e-15,3.694452151610979e-16,1.2286468139185065e-15,3.0,3.0,3.0,3.0,3.0,2.0,2.8333333333333335,3.0,0.6782932667618153,0.8712897043216922,0.7165991902834017,0.5898141197747164,0.3220459383073122,0.8879995156247265,0.7747914855417537,0.6532066550290591,0.6408500053724501,0.665166971474989,0.6595108986257129,3.0,3.0,2.0
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,20,RandomConfig_ECMADE_MOO,30,theta_05,100.0,10000.0,"rng(run,'mcg16807')",run index,0.038097462712986606,1.0587175595743339,0.019622541212519738,0.9241666666666668,0.9693099568820787,4.926442280000001,100.0,1.0,1.0,8.093525849517395e-17,4.0338103228047364e-16,8.093525849517395e-17,4.0338103228047364e-16,5.0,5.0,5.0,5.0,1.0,5.0,4.333333333333333,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,0.25,5.0,5.0,5.0
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,20,BayesianConfig_ECMADE_MOO,30,theta_02,100.0,10000.0,"rng(run,'mcg16807')",run index,0.022646800190044426,1.0648078173364959,0.011446171821782813,0.9480555555555555,0.917666453052213,1.5691005199999999,100.0,1.0,1.0,8.452497960812857e-17,4.181840059421425e-16,8.452497960812857e-17,4.181840059421425e-16,4.0,4.0,4.0,4.0,4.0,1.0,3.5,4.0,0.2399989045629446,0.5793467638657954,0.3481781376518199,0.5702795791887186,0.0018285335015248093,1.0,0.40967283421437,0.4592288584202693,0.4094369015430186,0.3995256967018388,0.467682556534041,4.0,4.0,4.0
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,20,MetaDesigned_ECMADE_MOO,30,theta_09,100.0,10000.0,"rng(run,'mcg16807')",run index,0.014218674444951495,1.079791126416663,0.0055094574763154824,0.9833333333333335,0.9175718481871588,3.7128345,100.0,1.0,1.0,8.07132138902489e-17,3.9968028886505646e-16,8.07132138902489e-17,3.9968028886505646e-16,2.0,1.0,2.0,2.0,5.0,4.0,2.6666666666666665,2.0,0.8304464531559634,1.0,0.8623481781376529,0.8813593141919495,0.0,0.36147877301594716,0.9152232265779817,0.8718537461648012,0.6572878697202507,0.6659617658028868,0.5371389364396825,2.0,2.0,3.0
test,syn_n100_k20_high_corr_heavy_tail_extreme_events_r01_s20260710,20,ExperimentC_NoReplicate_ECMADE_MOO,30,theta_234,100.0,10000.0,"rng(run,'mcg16807')",run index,0.011004326141408264,1.08409374940842,0.005772354942463307,0.9927777777777779,0.9388993485460453,2.4766706333333333,100.0,1.0,1.0,7.638334409421079e-17,3.663735981263018e-16,7.638334409421079e-17,3.663735981263018e-16,1.0,2.0,1.0,1.0,2.0,3.0,1.6666666666666667,1.0,1.0,0.9813720749439462,1.0,1.0,0.4122203323018,0.72967598230651,0.990686037471973,1.0,0.8530831740590044,0.851220381553399,0.7831455880200708,1.0,1.0,1.0
test,syn_n100_k20_pathological_cov_skewed_high_vol_r03_s20260709,20,HandCrafted_ECMADE_MOO,30,,,,"rng(run,'mcg16807')",run index,0.019819251850777552,1.1842473594968645,0.01895209014840119,0.9344444444444445,0.46477484665405855,3.68734395,89.23333333333333,1.0,1.0,3.7692321600167214e-16,1.2471505309955924e-15,3.761805681771572e-16,1.2508512744110098e-15,2.0,2.0,2.0,3.0,3.0,4.0,2.6666666666666665,3.0,1.0,1.0,1.0,0.7919375126171112,0.5683227245741447,0.13531759641016025,1.0,0.8959687563085557,0.780382244894695,0.801188493632984,0.649902269323215,2.0,3.0,3.0
