endpoint,direction,method_a,method_b,paired_units,median_oriented_difference,mean_oriented_difference,wins_a,ties,wins_b,wilcoxon_stat,two_sided_p_value,one_sided_greater_p_value,rank_biserial_correlation,vargha_delaney_A_oriented,holm_two_sided_p_value,significant_0_05
Runtime,min,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-1.1133393400000005,-0.7364507166666666,8,0,24,98.0,0.0013326280750334263,0.9993823538534343,-0.6287878787878788,0.28515625,0.003997884225100279,True
PerformanceScore,max,HandCrafted_ECMADE_MOO,RandomConfig_ECMADE_MOO,32,0.0,-0.011916180593167854,11,8,13,146.0,0.9089928125924198,0.5455035937037901,-0.02666666666666667,0.4814453125,1.0,False
PerformanceScore,max,HandCrafted_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,0.0015332894211670944,0.07265442235122463,16,0,16,220.0,0.4104436332013577,0.20522181660067884,0.16666666666666666,0.57177734375,1.0,False
PerformanceScore,max,HandCrafted_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.1795035043379305,-0.24111482685285196,8,2,22,123.0,0.023857674364530346,0.9880711628177348,-0.47096774193548385,0.318359375,0.19086139491624277,False
PerformanceScore,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.0409852096062176,-0.15722455693620768,14,2,16,166.5,0.17421997909343834,0.9128900104532809,-0.2838709677419355,0.4033203125,0.9398008604928725,False
PerformanceScore,max,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,0.01588786492657707,0.08457060294439245,17,2,13,181.0,0.28934952114431567,0.14467476057215783,0.221505376344086,0.58056640625,1.0,False
PerformanceScore,max,RandomConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.3078467481650363,-0.2291986462596841,11,1,20,147.5,0.048711374004914224,0.9756443129975428,-0.40524193548387094,0.33837890625,0.3409796180343996,False
PerformanceScore,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,-0.14530837634303984,15,3,14,152.0,0.1566334767488121,0.921683261625594,-0.30114942528735633,0.41064453125,0.9398008604928725,False
PerformanceScore,max,BayesianConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.20797528660968,-0.31376924920407656,1,9,22,16.0,0.00020604872121889292,0.9998969756393905,-0.8840579710144928,0.2373046875,0.0020604872121889294,True
PerformanceScore,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.13187318193271647,-0.22987897928743228,6,2,24,88.5,0.003057280179120507,0.9984713599104398,-0.6193548387096774,0.31884765625,0.02751552161208456,True
PerformanceScore,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,0.0838902699166443,15,6,11,135.0,0.3152514398097992,0.1576257199048996,0.23076923076923078,0.6181640625,1.0,False
StabilityScore,max,HandCrafted_ECMADE_MOO,RandomConfig_ECMADE_MOO,32,0.09729278475348863,0.16509398031268346,18,9,5,58.0,0.013528585433959961,0.0067642927169799805,0.5797101449275363,0.6533203125,0.05578279495239258,False
StabilityScore,max,HandCrafted_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,-0.3286557775007504,-0.23078490358744416,10,1,21,131.0,0.020908888429403305,0.9901126632466912,-0.4717741935483871,0.3056640625,0.06272666528820992,False
StabilityScore,max,HandCrafted_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.37754654168056295,-0.38245871070574045,4,3,25,43.0,0.0001610643450167698,0.9999194678274916,-0.8022988505747126,0.173828125,0.0014495791051509282,True
StabilityScore,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0,-0.11477694231350061,14,3,15,169.0,0.294290477011092,0.8528547614944539,-0.22298850574712645,0.3955078125,0.31589534878730774,False
StabilityScore,max,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,-0.4529336903725833,-0.39587888390012765,6,2,24,55.0,0.00026124486835971263,0.9998693775658202,-0.7634408602150538,0.1669921875,0.002089958946877701,True
StabilityScore,max,RandomConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.7451907523573791,-0.5475526910184239,4,1,27,35.0,2.9658960615022917e-05,0.9999851705196925,-0.8588709677419355,0.08251953125,0.0002965896061502292,True
StabilityScore,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.24073899521713393,-0.27987092262618407,12,3,17,96.0,0.008606650150543566,0.9956966749247282,-0.5586206896551724,0.259765625,0.0516399009032614,False
StabilityScore,max,BayesianConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,0.0,-0.1516738071182962,8,9,15,56.0,0.011156558990478516,0.9949454069137573,-0.5942028985507246,0.326171875,0.05578279495239258,False
StabilityScore,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0344764104066895,0.11600796127394362,20,2,10,163.0,0.15794767439365387,0.07897383719682693,0.2989247311827957,0.60302734375,0.31589534878730774,False
StabilityScore,max,MetaDesigned_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.17679162541675408,0.26768176839223984,20,6,6,57.0,0.0017795562744140625,0.0008897781372070312,0.6752136752136753,0.72998046875,0.012456893920898438,True
DiversityScore,max,HandCrafted_ECMADE_MOO,RandomConfig_ECMADE_MOO,32,-0.12522458209983384,-0.19437128578873472,7,8,17,71.0,0.023991956480347812,0.988004021759826,-0.5266666666666666,0.3486328125,0.14395173888208687,False
DiversityScore,max,HandCrafted_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,0.42935744583428237,0.2834589516599493,21,0,11,136.0,0.016606904441375126,0.008303452220687563,0.48484848484848486,0.708984375,0.11624833108962589,False
DiversityScore,max,HandCrafted_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,0.0,-0.0382776654955169,15,2,15,222.0,0.8287632171180676,0.5856183914409663,-0.04516129032258064,0.46435546875,1.0,False
DiversityScore,max,HandCrafted_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.06175564885913326,-0.21887683797401142,13,2,17,145.0,0.07100156893828519,0.9644992155308574,-0.3763440860215054,0.33740234375,0.28400627575314075,False
DiversityScore,max,RandomConfig_ECMADE_MOO,BayesianConfig_ECMADE_MOO,32,0.6804934191097292,0.47783023744868397,24,2,6,52.0,0.00018818435589855963,9.409217794927982e-05,0.7763440860215054,0.82861328125,0.001505474847188477,True
DiversityScore,max,RandomConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,0.3423168912883484,0.15609362029321783,18,1,13,179.0,0.17596015101336204,0.08798007550668102,0.2782258064516129,0.61474609375,0.5278804530400861,False
DiversityScore,max,RandomConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,0.0005280807006143307,-0.024505552185276697,16,3,13,209.0,0.8540248414769214,0.5729875792615393,-0.03908045977011494,0.50244140625,1.0,False
DiversityScore,max,BayesianConfig_ECMADE_MOO,MetaDesigned_ECMADE_MOO,32,-0.27667592742957264,-0.32173661715546614,2,9,21,9.0,8.644217546636017e-05,0.9999567789122669,-0.9347826086956522,0.259765625,0.0007779795791972415,True
DiversityScore,max,BayesianConfig_ECMADE_MOO,ExperimentC_StabilityAware_ECMADE_MOO,32,-0.5206770064154751,-0.5023357896339606,2,2,28,29.5,2.9605822131616476e-05,0.9999851970889342,-0.8731182795698925,0.15478515625,0.00029605822131616475,True
