split,instance,K,method,run,PF_Size,Runtime,HV,IGD,PF_Overlap,Diversity
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,11,100,7.4510939,0.9516017210107787,0.01396436648061694,0.8833333333333333,1.3135384584359426
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,12,100,7.496332,0.9393702838620668,0.020874988503404534,0.6333333333333333,1.255004620654522
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,13,100,7.5460553,0.9429669787597778,0.017835447157599594,0.6333333333333333,1.2798030533477287
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,14,100,7.5304818,0.9440161864092131,0.019472186032075116,0.55,1.3256632343703485
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,15,100,7.2732086,0.9405119367997129,0.019221263646761768,0.7416666666666667,1.2619617099272342
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,16,100,7.4739809,0.9474411753585072,0.016587598493205697,0.6833333333333333,1.2944949502445313
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,17,100,7.3830698,0.921602760819549,0.029169361016322674,0.375,1.2075367445782577
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,18,100,7.6737257,0.9559838690864956,0.01090556829539286,0.9583333333333334,1.3400298554443295
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,19,100,7.6480501,0.9537346021213918,0.013706557340471999,0.8166666666666667,1.3513268135023697
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,20,100,7.6332414,0.9543510171769068,0.01300300222991471,0.9,1.319330158447752
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,21,100,7.4729634,0.9504849625637738,0.015145662935627746,0.75,1.3419721685363035
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,22,100,7.8270207,0.9645219405255133,0.007869871576120714,0.9916666666666667,1.3689271806301946
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,23,100,7.757146,0.9586734400993101,0.011133835508228664,0.95,1.3456840262722454
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,24,100,7.8666591,0.9108784294961456,0.03640877518099099,0.5083333333333333,1.1195085031185574
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,25,100,7.2592808,0.9490506897862775,0.015086349650844695,0.875,1.2909884190536725
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,26,100,7.5726168,0.9451125449000184,0.016768067321639307,0.6916666666666667,1.3245166356306264
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,27,100,7.3590913,0.9542625038462045,0.01301613804806443,0.9083333333333333,1.326329516059269
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,28,100,7.1280999,0.9254231145007341,0.032017099100388254,0.825,1.105201319669025
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,29,100,7.3034975,0.9151814190031284,0.03268363792459747,0.39166666666666666,1.166048118350284
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_223,30,100,7.6555265,0.9419480774996336,0.01848825038371415,0.5916666666666667,1.2925171882464233
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,1,100,7.4626976,0.9634076490919875,0.008850911856000392,0.9833333333333333,1.367829429641181
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,2,100,6.9823798,0.9207464211767684,0.029863378229038954,0.4,1.2037325829239856
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,3,100,7.0573217,0.9421409812580087,0.01970840830669913,0.44166666666666665,1.3506209015545525
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,4,100,7.0609682,0.9443283240739953,0.01840283157306523,0.5666666666666667,1.338477430327908
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,5,100,7.2683996,0.9516170300173095,0.014965082807549653,0.7,1.385537586575268
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,6,100,7.3239461,0.9462795404573047,0.01741569263648989,0.5583333333333333,1.360085342089122
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,7,100,7.277663,0.9529304120620998,0.015184010664856357,0.7,1.3838766856080584
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,8,100,7.1902768,0.93920773075743,0.020592563776044417,0.4666666666666667,1.3062990747306267
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,9,100,7.1743835,0.9430140953290185,0.020511683122328317,0.48333333333333334,1.4055222704435621
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,10,100,7.2504341,0.9469202299841547,0.01663694924955357,0.5916666666666667,1.372540965279695
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,11,100,7.3225577,0.9529117517914943,0.013948653199346265,0.75,1.3980948851031785
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,12,100,7.1663367,0.9492992940549003,0.01607905695232837,0.675,1.4095844765289454
train,syn_n50_k30_cluster_corr_mixed_extreme_events_r03_s20260664,15,theta_200,13,100,7.2567756,0.9357041304354116,0.022669239703426824,0.4083333333333333,1.301809363167939
